證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"8454","富邦媒","155,130","52,036,140","337.50","342.00","330.00","330.00","-1.50","160"
"8462","柏文","114,877","14,991,448","130.50","130.50","130.50","130.50","+11.50","98"
"8463","潤泰材","364,000","10,864,050","29.75","30.35","29.50","29.75","+1.00","221"
"8464","億豐","1,740,004","334,357,276","182.00","194.00","182.00","193.50","+17.00","1,221"
"8466","美吉吉-KY","28,015","1,683,715","60.50","60.50","59.30","60.40","+1.60","27"
"8467","波力-KY","29,026","1,142,811","41.00","41.00","38.15","38.15"," 0.00","18"
"8473","山林水","78,883","2,778,066","34.10","35.70","34.10","35.40","+1.70","75"
"8478","東哥遊艇","193,146","5,081,727","26.30","27.00","26.00","26.20","-0.10","116"
"8480","泰昇-KY","29,000","3,511,500","120.00","126.00","120.00","120.50","+4.50","29"
"8481","政伸","17,000","841,500","49.50","50.00","49.00","49.00","+0.40","13"
"8482","商億-KY","139,080","15,132,320","105.50","115.50","103.00","103.50","-1.50","113"
"8488","吉源-KY","11,000","138,400","12.30","13.05","12.30","13.05","+0.75","7"
"8497","格威傳媒","168,001","11,428,472","68.00","68.20","67.90","68.00"," 0.00","98"
"8499","鼎炫-KY","159,014","12,028,559","74.50","77.00","74.50","75.00","+2.00","141"
"8926","台汽電","2,714,591","79,297,944","29.10","29.80","28.75","28.90","+0.55","1,498"
"8940","新天地","27,000","254,500","9.47","9.47","9.30","9.30","+0.25","7"
"8996","高力","5,920,182","259,891,178","42.95","45.10","42.50","43.45","+1.85","3,336"
"9103","美德醫療-DR","4,313,003","15,844,859","3.77","3.77","3.60","3.68"," 0.00","909"
"910322","康師傅-DR","7,000","185,200","26.60","26.60","25.60","25.60","-0.85","5"
"910482","聖馬丁-DR","137,002","35,600","0.26","0.26","0.25","0.26","+0.02","19"
"9105","泰金寶-DR","5,696,327","13,664,961","2.36","2.43","2.35","2.40","+0.10","863"
"910861","神州-DR","3,000","19,610","6.41","6.60","6.41","6.60","+0.20","2"
"9110","越南控-DR","116,000","147,060","1.26","1.30","1.23","1.30","+0.03","27"
"911608","明輝-DR","4,000","3,790","0.92","0.96","0.92","0.95","+0.03","3"
"911616","杜康-DR","500,000","368,360","0.71","0.76","0.71","0.75","+0.04","72"
"911622","泰聚亨-DR","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"911868","同方友友-DR","2,000","1,950","1.00","1.00","0.95","0.95","-0.04","2"
"912000","晨訊科-DR","61,000","96,040","1.60","1.60","1.56","1.60","X0.00","16"
"912398","友佳-DR","94,000","244,990","2.56","2.63","2.55","2.63"," 0.00","6"
"9136","巨騰-DR","221,000","1,263,480","5.77","5.89","5.68","5.71","+0.07","58"
"9188","精熙-DR","250,000","666,730","2.67","2.67","2.64","2.67","+0.24","65"
"9802","鈺齊-KY","1,784,372","142,643,408","79.90","80.40","78.60","80.40","+7.30","1,005"
"9902","台火","205,264","1,534,750","7.70","7.70","7.31","7.38","+0.26","96"
"9904","寶成","11,857,590","300,858,442","25.10","25.90","24.85","25.20","+1.15","4,543"
"9905","大華","293,003","5,459,757","18.30","18.90","18.30","18.70","+0.55","150"
"9906","欣巴巴","48,001","862,167","17.75","18.40","17.70","17.70","-0.05","30"
"9907","統一實","1,778,865","14,627,881","8.10","8.30","8.10","8.22","+0.36","602"
"9908","大台北","221,000","6,276,850","28.20","28.70","28.20","28.30","+0.70","127"
"9910","豐泰","1,548,328","204,472,942","128.00","132.50","127.00","132.50","+12.00","963"
"9911","櫻花","571,581","23,040,930","39.95","40.65","39.55","40.45","+1.25","498"
"9912","偉聯","181,098","1,024,973","5.72","5.80","5.63","5.65","+0.14","63"
"9914","美利達","1,671,491","164,602,600","97.00","99.80","94.40","99.80","+9.00","938"
"9917","中保科","716,243","56,976,511","79.50","80.00","79.00","79.60","+1.70","893"
"9918","欣天然","29,008","918,864","31.35","32.00","31.35","31.45","+0.10","27"
"9919","康那香","11,364,281","207,887,516","18.35","18.60","18.05","18.10"," 0.00","4,627"
"9921","巨大","1,229,741","169,163,240","134.00","140.00","131.50","140.00","+12.50","780"
"9924","福興","563,813","20,257,235","35.15","36.25","35.15","35.75","+1.45","334"
"9925","新保","337,530","11,344,164","33.45","34.00","33.10","33.55","+0.95","206"
"9926","新海","16,002","623,726","38.80","39.20","38.80","38.85","+0.50","13"
"9927","泰銘","305,353","8,660,554","27.90","28.55","27.90","28.35","+0.75","167"
"9928","中視","59,013","221,345","3.51","4.00","3.51","3.96","+0.06","33"
"9929","秋雨","10,005","104,900","10.65","10.65","10.35","10.50","+0.05","13"
"9930","中聯資源","297,207","12,103,817","39.00","42.00","39.00","41.90","+3.25","247"
"9931","欣高","4,127","142,377","34.50","34.50","34.50","34.50","+0.05","15"
"9933","中鼎","3,326,669","92,467,847","26.85","28.35","26.85","27.70","+1.15","1,813"
"9934","成霖","1,165,060","13,649,356","11.40","11.90","11.40","11.75","+0.65","375"
"9935","慶豐富","909,000","17,726,300","19.35","19.75","19.25","19.60","+1.00","437"
"9937","全國","59,107","2,433,777","41.00","41.95","40.95","41.00"," 0.00","47"
"9938","百和","4,317,442","206,672,819","46.50","48.25","46.45","48.25","+4.35","2,213"
"9939","宏全","1,526,256","72,596,409","47.15","48.05","46.90","47.45","+1.90","1,021"
"9940","信義","680,066","16,101,054","23.00","24.25","23.00","23.85","+1.45","382"
"9941","裕融","1,320,271","113,544,306","84.40","87.80","84.00","85.90","+5.90","1,098"
"9941A","裕融甲特","19,106","974,573","51.20","51.20","50.60","50.80","+0.60","19"
"9942","茂順","256,183","15,100,023","58.00","60.00","57.50","58.00","+2.10","202"
"9943","好樂迪","878,684","49,051,707","54.00","56.90","54.00","55.70","+3.80","700"
"9944","新麗","1,142,000","17,193,100","15.30","15.50","14.70","14.90"," 0.00","545"
"9945","潤泰新","5,304,492","174,193,317","32.55","33.60","32.20","33.40","+1.95","2,641"
"9946","三發地產","270,800","2,992,337","11.05","11.05","11.05","11.05","+1.00","65"
"9955","佳龍","953,558","13,092,376","13.90","14.10","13.35","13.45","+0.10","460"
"9958","世紀鋼","6,277,015","479,647,924","76.80","77.60","75.20","75.30","+0.70","4,170"
